Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
PQQ|-31.43,152.92|2017-12-11T03:58:43Z|Port Macquarie|Clouds|overcast clouds|+15.0|+15.0|+15.0|1019.0|93|1.0|290.0|1512921600|2152659|1900-01-01T00:00:00Z|0
BHQ|-31.95,141.43|2017-12-11T00:35:54Z|Broken Hill|Clear|clear sky|+18.37|+18.37|+18.37|1002.18|57|3.67|151.5|1512912951|2173911|1900-01-01T00:00:00Z|0
DBO|-32.25,148.62|2017-12-11T00:35:54Z|Dubbo|Clear|clear sky|+20.0|+20.0|+20.0|1019.0|49|4.1|150.0|1512910800|2168305|1900-01-01T00:00:00Z|0
BXG|-36.77,144.28|2017-12-10T15:54:36Z|Bendigo|Clear|clear sky|+25.14|+25.14|+25.14|1013.89|61|3.21|221.5|1512881643|2176187|1900-01-01T00:00:00Z|0
ADL|-34.93,138.6|2017-12-10T15:54:36Z|Adelaide|Clouds|few clouds|+22.0|+22.0|+22.0|1021.0|60|7.7|210.0|1512880200|2078025|1900-01-01T00:00:00Z|0
DBO|-32.25,148.62|2017-12-11T03:58:43Z|Dubbo|Clear|clear sky|+20.0|+20.0|+20.0|1018.0|60|5.1|100.0|1512923400|2168305|1900-01-01T00:00:00Z|0
CBR|-35.28,149.13|2017-12-10T18:57:36Z|Canberra|Clear|clear sky|+27.0|+27.0|+27.0|1019.0|34|5.1|360.0|1512889200|2172517|1900-01-01T00:00:00Z|0
WGA|-35.12,147.37|2017-12-11T03:58:43Z|Wagga Wagga|Clear|clear sky|+17.0|+17.0|+17.0|1017.0|67|1.0|60.0|1512921600|2145110|1900-01-01T00:00:00Z|0
SYD|-33.87,151.21|2017-12-11T04:10:51Z|Sydney|Clear|clear sky|+17.79|+16.0|+20.0|1019.0|82|2.1|360.0|1512923400|2147714|1900-01-01T00:00:00Z|0
SYD|-33.87,151.21|2017-12-11T03:58:43Z|Sydney|Clear|clear sky|+17.81|+16.0|+20.0|1019.0|82|2.1|360.0|1512923400|2147714|2017-12-11T04:18:29Z|1
SYD|-33.87,151.21|2017-12-11T04:18:29Z|Sydney|Clear|clear sky|+17.79|+16.0|+20.0|1019.0|82|2.1|360.0|1512923400|2147714|1900-01-01T00:00:00Z|0
MGB|-37.83,140.77|2017-12-10T14:59:49Z|Mount Gambier|Clear|clear sky|+21.83|+21.83|+21.83|1028.87|68|2.47|243.5|1512877850|2156643|1900-01-01T00:00:00Z|0
MEL|-37.81,144.96|2017-12-11T02:47:21Z|Melbourne|Clouds|overcast clouds|+15.32|+15.0|+16.0|1021.0|82|3.6|180.0|1512918000|2158177|1900-01-01T00:00:00Z|0
ALH|-35.02,117.89|2017-12-10T15:54:36Z|Albany|Clear|clear sky|+36.21|+36.21|+36.21|1011.54|28|1.76|264.0|1512881655|2077963|1900-01-01T00:00:00Z|0
DPO|-41.17,146.35|2017-12-11T00:48:03Z|Devonport|Clouds|few clouds|+10.37|+10.37|+10.37|993.58|84|2.67|258.0|1512913658|2168943|1900-01-01T00:00:00Z|0
BWT|-41.07,145.92|2017-12-10T18:57:36Z|Burnie|Clouds|few clouds|+17.53|+17.53|+17.53|1030.85|93|8.08|268.5|1512892394|2173125|1900-01-01T00:00:00Z|0
BDB|-24.85,152.35|2017-12-11T00:35:54Z|Bundaberg|Clouds|scattered clouds|+24.14|+24.14|+24.14|1028.52|100|8.17|144.0|1512912945|2173323|1900-01-01T00:00:00Z|0
BNE|-27.47,153.03|2017-12-11T02:47:21Z|Brisbane|Clouds|few clouds|+18.88|+17.0|+21.0|1017.0|77|3.1|190.0|1512918000|2174003|1900-01-01T00:00:00Z|0
CFS|-30.3,153.13|2017-12-11T02:47:21Z|Coffs Harbour|Clouds|broken clouds|+19.0|+19.0|+19.0|1019.0|82|2.6|240.0|1512918000|2171085|1900-01-01T00:00:00Z|0
BXG|-36.77,144.28|2017-12-10T19:35:44Z|Bendigo|Clear|clear sky|+22.93|+22.93|+22.93|1013.99|53|2.58|197.0|1512894813|2176187|1900-01-01T00:00:00Z|0
ALH|-35.02,117.89|2017-12-11T00:35:54Z|Albany|Clouds|broken clouds|+19.49|+19.49|+19.49|1013.2|83|2.42|190.5|1512912940|2077963|1900-01-01T00:00:00Z|0
